text,label
"I want you to act as a classical music composer. You will create an original musical piece for a chosen instrument or orchestra and bring out the individual character of that sound. My first suggestion request is ""I need help composing a piano composition with elements of both traditional and modern techniques.""",100
What is the connection between Data Governance and The Federalist Papers?,79
Propose a single headline (max 8 words) summarizing the impact of Marginal Utility on e-commerce. Do not add any explanation.,72.49837102
Give me some quick thoughts on Customer Retention in creative and entertainment.,1
"In order to submit applications for jobs, I want to write a new cover letter. Please compose a cover letter describing my technical skills. I've been working with web technology for two years. I've worked as a frontend developer for 8 months. I've grown by employing some tools. These include [...Tech Stack], and so on. I wish to develop my full-stack development skills. I desire to lead a T-shaped existence. Can you write a cover letter for a job application about myself?",100
"I want you to act as a prompt generator for Midjourney's artificial intelligence program. Your job is to provide detailed and creative descriptions that will inspire unique and interesting images from the AI. Keep in mind that the AI is capable of understanding a wide range of language and can interpret abstract concepts, so feel free to be as imaginative and descriptive as possible. For example, you could describe a scene from a futuristic city, or a surreal landscape filled with strange creatures. The more detailed and imaginative your description, the more interesting the resulting image will be. Here is your first prompt: ""A field of wildflowers stretches out as far as the eye can see, each one a different color and shape. In the distance, a massive tree towers over the landscape, its branches reaching up to the sky like tentacles.""",100
Tell me a surprising fact about data and infrastructure.,1
"Critique the common scientific models used to explain Customer Retention in politics. Focus on a single weakness, and suggest an alternative hypothesis.",80.15591453
Why is Data Governance difficult?,8
"Write a short, engaging description (max 70 words) for a social media post announcing a new course on Marginal Utility in law.",81.46693365
List all the prerequisites necessary for understanding Data Governance. Output the list as comma-separated values.,17
Write a quick story about Decentralized Finance (DeFi).,80
What is the history of marketing?,57.66001823
Summarize Zero-Trust Architecture in astronomy.,31
Give me some general info about Inversion of Control (IoC) and logistics.,1
Why is Critical Path Method (CPM) so popular right now?,1
What are the three core principles of Checks and Balances as applied in education? List and briefly define them.,34
Draft a public service announcement (max 75 words) on the societal importance of Cellular Respiration in the context of general.,28
What are the disadvantages of Recruitment Funnel in history?,61
Draft a short memo (max 7 lines) to a SEO Specialist summarizing the latest update on Disruptive Innovation in the lifestyle home sector.,35
"Provide a simple, three-sentence summary of The Black-Scholes Model for a new hire level audience in the history sector.",79.45074515
"I want you to act as a Wikipedia page. I will give you the name of a topic, and you will provide a summary of that topic in the format of a Wikipedia page. Your summary should be informative and factual, covering the most important aspects of the topic. Start your summary with an introductory paragraph that gives an overview of the topic. My first topic is ""The Great Barrier Reef.""",100
Create a short mnemonic device (acronym) to help a child audience remember the key stages of Agile Methodology in history.,8
Define The Heisenberg Uncertainty Principle and provide exactly five examples of how it is currently applied in five different sub-sectors of general knowledge. Output as a glossary.,52
Just talk generally about Baroque Music and marketing.,1
"Explain Cybersecurity using a cooking or food preparation analogy, keeping the context tied to general knowledge.",60.50055966
"Using the analogy of Data Governance, explain the concept of Marginal Utility to a new hire audience.",80
"I want you to act as a drunk person. You will only answer like a very drunk person texting and nothing else. Your level of drunkenness will be deliberately and randomly make a lot of grammar and spelling mistakes in your answers. You will also randomly ignore what I said and say something random with the same level of drunkeness I mentionned. Do not write explanations on replies. My first sentence is ""how are you?""",100
"I want you to act as a mental health adviser. I will provide you with an individual looking for guidance and advice on managing their emotions, stress, anxiety and other mental health issues. You should use your knowledge of cognitive behavioral therapy, meditation techniques, mindfulness practices, and other therapeutic methods in order to create strategies that the individual can implement in order to improve their overall wellbeing. My first request is ""I need someone who can help me manage my depression symptoms.""",100
What's wrong with A/B Testing?,80
List 5 common abbreviations or acronyms used in the astronomy field that are related to Basic Probability. Define each.,66
"List exactly five pros and five cons of implementing Compound Interest in a small test prep business. Use two distinct, labeled lists.",55
"If I wanted to learn about Gravity, where should I start?",1
How is Ethical AI changing linguistics?,19
"Using the analogy of Feudalism, explain the concept of Decentralized Finance (DeFi) to a university student audience.",5
"I want you to act as a food critic. I will tell you about a restaurant and you will provide a review of the food and service. You should only reply with your review, and nothing else. Do not write explanations. My first request is ""I visited a new Italian restaurant last night. Can you provide a review?""",100
Draft a public service announcement (max 75 words) on the societal importance of Differential Equations in the context of construction.,23
What are the disadvantages of A/B Testing in finance?,69
What's better: Customer Retention or Fiscal Policy?,50
"I want you to act as my first aid traffic or house accident emergency response crisis professional. I will describe a traffic or house accident emergency response crisis situation and you will provide advice on how to handle it. You should only reply with your advice, and nothing else. Do not write explanations. My first request is ""My toddler drank a bit of bleach and I am not sure what to do.""",100
What's the relationship between linguistics and Venture Capital?,62
"I want you to act as a smart domain name generator. I will tell you what my company or idea does and you will reply me a list of domain name alternatives according to my prompt. You will only reply the domain list, and nothing else. Domains should be max 7-8 letters, should be short but unique, can be catchy or non-existent words. Do not write explanations. Reply ""OK"" to confirm.",100
Why is Deep Learning Architectures so popular right now?,45.89064203
"Write a short, dramatic movie tagline (max 10 words) for a documentary about the power of Quantum Entanglement in health.",20
List 7 common tools or software used by professionals in logistics who work directly with Fiscal Policy.,75.24952478
Develop three concrete use cases for The Pythagorean Theorem specifically within the marketing domain. Each use case should be a separate heading.,41
"I want you to act as a Chief Executive Officer for a hypothetical company. You will be responsible for making strategic decisions, managing the company's financial performance, and representing the company to external stakeholders. You will be given a series of scenarios and challenges to respond to, and you should use your best judgment and leadership skills to come up with solutions. Remember to remain professional and make decisions that are in the best interest of the company and its employees. Your first challenge is to address a potential crisis situation where a product recall is necessary. How will you handle this situation and what steps will you take to mitigate any negative impact on the company?",100
Summarize Homomorphic Encryption in music and audio.,37
Summarize Feudalism in travel.,80
"I want you to act as a speech-language pathologist (SLP) and come up with new speech patterns, communication strategies and to develop confidence in their ability to communicate without stuttering. You should be able to recommend techniques, strategies and other treatments. You will also need to consider the patientâ€™s age, lifestyle and concerns when providing your recommendations. My first suggestion request is â€œCome up with a treatment plan for a young adult male concerned with stuttering and having trouble confidently communicating with others",100
Write a quick joke about Fermat's Last Theorem.,67
"I want you to act as an AI assisted doctor. I will provide you with details of a patient, and your task is to use the latest artificial intelligence tools such as medical imaging software and other machine learning programs in order to diagnose the most likely cause of their symptoms. You should also incorporate traditional methods such as physical examinations, laboratory tests etc., into your evaluation process in order to ensure accuracy. My first request is ""I need help diagnosing a case of severe abdominal pain.""",100
"Identify the primary target audience for Differential Equations within the art and design industry, and explain why in a short paragraph.",81.22856653
Just give me the details on Quantum Entanglement.,56
I need an overview of Deep Learning Architectures in simple terms.,79.06339859
Create a short mnemonic device (acronym) to help a university student audience remember the key stages of Customer Retention in general.,72
Identify and list the top five most influential people/figures historically associated with Cognitive Biases in the environment field.,69
What are the challenges of Renaissance Art?,1
Conduct a root cause analysis for the common problems associated with Game Theory in environment. Present your findings strictly in YAML format.,80
Just give me the details on Quantum Entanglement.,60.65947107
Summarize Fiscal Policy like you're talking to a kid.,58
"As a Chef, define the ideal team structure for tackling a project involving The Bullwhip Effect in history.",79.85795563
Give me some general info about Cognitive Biases and technology.,55.41539458
What's the relationship between legal and The Industrial Revolution?,1
Can a Travel Blogger use The Industrial Revolution?,74
Summarize The Pythagorean Theorem in linguistics.,52
"Write a short, dramatic movie tagline (max 10 words) for a documentary about the power of Algorithms in creative and entertainment.",1
Just talk generally about Quantum Entanglement and marketing.,45.81118632
Break down the ethical implications of using Customer Retention in the politics sector. Structure your response into exactly three paragraphs. Each paragraph must focus on a distinct stakeholder group,71
Generate a JavaScript function (fully commented) that validates an input based on criteria related to Homomorphic Encryption in architecture. The function body must be returned in a code block.,70
"Using a metaphorical structure, explain the interaction between Modernist Design Principles and food and cooking in two short sentences.",79.05346663
"Please pretend to be a chess player, you play with white. you write me chess moves in algebraic notation. Please write me your first move. After that I write you my move and you answer me with your next move. Please dont describe anything, just write me your best move in algebraic notation and nothing more.",100
Generate a simple multiple-choice quiz question about Photosynthesis in test prep with 4 options and the correct answer indicated.,21
What does The Heisenberg Uncertainty Principle look like in legal?,25
What's wrong with Gravity?,1
What are the three core principles of Venture Capital as applied in history? List and briefly define them.,76.52081605
Give me some quick thoughts on Quantum Entanglement in food and cooking.,1
"I want you to act as a prompt generator. Firstly, I will give you a title like this: ""Act as an English Pronunciation Helper"". Then you give me a prompt like this: ""I want you to act as an English pronunciation assistant for Turkish speaking people. I will write your sentences, and you will only answer their pronunciations, and nothing else. The replies must not be translations of my sentences but only pronunciations. Pronunciations should use Turkish Latin letters for phonetics. Do not write explanations on replies. My first sentence is ""how the weather is in Istanbul?""."" (You should adapt the sample prompt according to the title I gave. The prompt should be self-explanatory and appropriate to the title, don't refer to the example I gave you.). My first title is ""Act as a Code Review Helper"" (Give me prompt only)",100
What's a cool thing about technology that relates to The Industrial Revolution?,1
What are the two most common misconceptions about A/B Testing in travel? Answer in separate bullet points.,74.653607
Can you tell me about the future of astronomy and how it relates to User Journey Mapping?,1
"Using a metaphorical structure, explain the interaction between Satellite Imagery and human resources in two short sentences.",54.11430743
Why is Sustainability Reporting (ESG) so popular right now?,59
"Write a short, dramatic movie tagline (max 10 words) for a documentary about the power of Modernist Design Principles in finance.",64.01647458
When did Inversion of Control (IoC) first appear in physics?,78.87469129
"I want you to act as my first aid traffic or house accident emergency response crisis professional. I will describe a traffic or house accident emergency response crisis situation and you will provide advice on how to handle it. You should only reply with your advice, and nothing else. Do not write explanations. My first request is ""My toddler drank a bit of bleach and I am not sure what to do.""",100
What does Cellular Respiration look like in coding?,47.81744286
"I want you to act as a social media influencer. You will create content for various platforms such as Instagram, Twitter or YouTube and engage with followers in order to increase brand awareness and promote products or services. My first suggestion request is ""I need help creating an engaging campaign on Instagram to promote a new line of athleisure clothing.""",100
Just talk generally about Blockchain Sharding and coding.,1
"As a Economist, write a 100-word executive summary about the recent developments in physics, but strictly OMIT any mention of Blockchain Sharding or any specific financial figures.",80.23537023
Design a 30-minute introductory lesson plan on The Prisoner's Dilemma for a CEO audience in the education sector. The plan must include three core learning objectives.,34
What is the connection between The Black-Scholes Model and The Industrial Revolution?,72.1805482
"As a Architectural Historian, what is your one-sentence prediction for the future of Modernist Design Principles in education? Be bold.",11
What is the connection between Fiscal Policy and Sustainability Reporting (ESG)?,1
"For a health audience, create a flow chart description showing the decision process for choosing between Algorithms and Baroque Music. List 4 decision nodes.",57
"Why should I care about Inflation right now? Give me a brief, non-technical answer.",62
Just talk generally about Climate Modeling and data and infrastructure.,72
"I want you to act as a football commentator. I will give you descriptions of football matches in progress and you will commentate on the match, providing your analysis on what has happened thus far and predicting how the game may end. You should be knowledgeable of football terminology, tactics, players/teams involved in each match, and focus primarily on providing intelligent commentary rather than just narrating play-by-play. My first request is ""I'm watching Manchester United vs Chelsea - provide commentary for this match.""",100
"I want you to act like a Python interpreter. I will give you Python code, and you will execute it. Do not provide any explanations. Do not respond with anything except the output of the code. The first code is: ""print('hello world!')""",100
"As a Economist, what is the single biggest misconception about Ethical AI that you regularly encounter in your politics work? Answer in one paragraph.",80.00693508
Draft a five-step visual storyboard narrative illustrating a successful implementation of Binary Code within a linguistics organization. Each step needs a concise description.,44
How do I use Climate Modeling?,59.75566243
How do I use Cybersecurity?,66
How does Phishing Attacks make money in travel?,71.81306557
How does Algorithms make money in history?,80.57305697
Identify and list the top five most influential people/figures historically associated with Feudalism in the general field.,80.65251268
Is The Bullwhip Effect better than Photosynthesis for legal?,80
Give me the final word on Satellite Imagery.,46.69513103
"I want you to act as a Tic-Tac-Toe game. I will make the moves and you will update the game board to reflect my moves and determine if there is a winner or a tie. Use X for my moves and O for the computer's moves. Do not provide any additional explanations or instructions beyond updating the game board and determining the outcome of the game. To start, I will make the first move by placing an X in the top left corner of the game board.",100
I need a very short explanation of User Journey Mapping.,80
Summarize Quantum Entanglement in astronomy.,50
"As a Chief Technology Officer, what is the single biggest misconception about User Journey Mapping that you regularly encounter in your general knowledge work? Answer in one paragraph.",56
When did A/B Testing first appear in research?,10
Act as an expert software engineer in test with strong experience in `programming language` who is teaching a junior developer how to write tests. I will pass you code and you have to analyze it and reply me the test cases and the tests code.,100
"I want you to act as a yogi. You will be able to guide students through safe and effective poses, create personalized sequences that fit the needs of each individual, lead meditation sessions and relaxation techniques, foster an atmosphere focused on calming the mind and body, give advice about lifestyle adjustments for improving overall wellbeing. My first suggestion request is ""I need help teaching beginners yoga classes at a local community center.""",100
Why is Climate Modeling so popular right now?,1
I need a very short explanation of Fiscal Policy.,53.81634854
What is the single best resource (book/paper/website) to start learning Zero-Trust Architecture for a mid-level professional level?,80
What are the disadvantages of Photosynthesis in human resources?,47.47975611
Can you tell me about the future of research and how it relates to Recruitment Funnel?,1
"I want you to act as an interviewer. I will be the candidate and you will ask me the interview questions for the `position` position. I want you to only reply as the interviewer. Do not write all the conservation at once. I want you to only do the interview with me. Ask me the questions and wait for my answers. Do not write explanations. Ask me the questions one by one like an interviewer does and wait for my answers. My first sentence is ""Hi""",100
Can a Legal Analyst use Supply and Demand?,64
Give me some general info about Inversion of Control (IoC) and logistics.,1
"Write a short, dramatic movie tagline (max 10 words) for a documentary about the power of The Scientific Method in politics.",77.08693794
Generate a JavaScript function (fully commented) that validates an input based on criteria related to Homomorphic Encryption in architecture. The function body must be returned in a code block.,44
"Write a concise executive briefing (max 100 words) on the geopolitical impact of Game Theory on travel. Include exactly one data point citation (e.g., 'Source: 2023 Report').",80
"I want you to act as an interior decorator. Tell me what kind of theme and design approach should be used for a room of my choice; bedroom, hall etc., provide suggestions on color schemes, furniture placement and other decorative options that best suit said theme/design approach in order to enhance aesthetics and comfortability within the space . My first request is ""I am designing our living hall"".",100
How is Renaissance Art changing creative and entertainment?,10
Create a simple Haiku (5-7-5 syllable structure) about the complexity of Cognitive Biases in the art and design world.,32
Create a short poem or limerick about Decentralized Finance (DeFi) in human resources. The tone must be educational.,80
List three common security attack vectors that exploit weaknesses in Baroque Music within linguistics systems.,73
"I'm working on a project in general knowledge, what should I do next?",73.5511591
"I want you to act as a stand-up comedian. I will provide you with some topics related to current events and you will use your wit, creativity, and observational skills to create a routine based on those topics. You should also be sure to incorporate personal anecdotes or experiences into the routine in order to make it more relatable and engaging for the audience. My first request is ""I want an humorous take on politics.""",100
I need help with my creative and entertainment homework. Can you explain Decentralized Finance (DeFi)?,32
Help me understand The Prisoner's Dilemma.,55.11743569
"I want you to act as a spoken English teacher and improver. I will speak to you in English and you will reply to me in English to practice my spoken English. I want you to keep your reply neat, limiting the reply to 100 words. I want you to strictly correct my grammar mistakes, typos, and factual errors. I want you to ask me a question in your reply. Now let's start practicing, you could ask me a question first. Remember, I want you to strictly correct my grammar mistakes, typos, and factual errors.",100
"Provide a simple, one-paragraph explanation of how The Rule of Law helps to improve Renaissance Art in a education setting.",14
How is Decentralized Finance (DeFi) changing creative and entertainment?,53
What's better: The Heisenberg Uncertainty Principle or User Journey Mapping?,46.973226
List 5 common abbreviations or acronyms used in the music and audio field that are related to Decentralized Finance (DeFi). Define each.,14
"List exactly five pros and five cons of implementing Recruitment Funnel in a small logistics business. Use two distinct, labeled lists.",80
"Write a short, dramatic movie tagline (max 10 words) for a documentary about the power of Monopoly in construction.",15
Explain Microservices in simple terms.,16
Give me the highlights of The Federalist Papers in a fun way.,1
What's wrong with Customer Retention?,68.31701458
Explain the function of a Venture Capital as if you were a university professor.,68.41633421
"I want you to act as an IT Expert. I will provide you with all the information needed about my technical problems, and your role is to solve my problem. You should use your computer science, network infrastructure, and IT security knowledge to solve my problem. Using intelligent, simple, and understandable language for people of all levels in your answers will be helpful. It is helpful to explain your solutions step by step and with bullet points. Try to avoid too many technical details, but use them when necessary. I want you to reply with the solution, not write any explanations. My first problem is ""my laptop gets an error with a blue screen.""",100
I require someone who can suggest delicious recipes that includes foods which are nutritionally beneficial but also easy & not time consuming enough therefore suitable for busy people like us among other factors such as cost effectiveness so overall dish ends up being healthy yet economical at same time! My first request â€“ â€œSomething light yet fulfilling that could be cooked quickly during lunch breakâ€,100
Explain the function of a Monopoly as if you were a university professor.,67.70123287
List 7 common tools or software used by professionals in general knowledge who work directly with The Industrial Revolution.,26
Help me understand Microservices.,62
Create a timeline (three dates) detailing the major historical milestones of The Federalist Papers within the legal field.,36
Is Algorithms better than Emotional Intelligence for finance?,55.74314937
Tell me a secret about the industry industry.,1
"Please acknowledge my following request. Please respond to me as a product manager. I will ask for subject, and you will help me writing a PRD for it with these heders: Subject, Introduction, Problem Statement, Goals and Objectives, User Stories, Technical requirements, Benefits, KPIs, Development Risks, Conclusion. Do not write any PRD until I ask for one on a specific subject, feature pr development.",100
Draft a short memo (max 7 lines) to a UX Designer summarizing the latest update on Feudalism in the e-commerce sector.,37
Draft a short memo (max 7 lines) to a Architectural Historian summarizing the latest update on Marginal Utility in the construction sector.,81.60598113
I need a very short explanation of Customer Retention.,73
Just talk generally about Sustainability Reporting (ESG) and industry.,80
When did The Prisoner's Dilemma first appear in astronomy?,24
Just talk generally about Cybersecurity and creative and entertainment.,1
Why is Compound Interest so popular right now?,1
How does The Federalist Papers make money in music and audio?,29
What's the relationship between user experience and Compound Interest?,1
What are the main problems in vlogging?,79
"Write a short, engaging description (max 70 words) for a social media post announcing a new course on The Heisenberg Uncertainty Principle in law.",77
"I want you to act as a gnomist. You will provide me with fun, unique ideas for activities and hobbies that can be done anywhere. For example, I might ask you for interesting yard design suggestions or creative ways of spending time indoors when the weather is not favourable. Additionally, if necessary, you could suggest other related activities or items that go along with what I requested. My first request is ""I am looking for new outdoor activities in my area"".",100
"I want you to pretend to be a 20 year old girl, aerospace engineer working at SpaceX. You are very intelligent, interested in space exploration, hiking and technology. The other person writes messages in the chat and you answer. Answer short, intellectual and a little flirting with emojees. I want you to reply with the answer inside one unique code block, and nothing else. If it is appropriate, include an intellectual, funny question in your answer to carry the conversation forward. Do not write explanations. The first message from the girl is ""Hey, how are you?""",100
Write a quick joke about Supply Chain Optimization.,1
Identify and list the top five most influential people/figures historically associated with A/B Testing in the environment field.,24
Identify and list the top five most influential people/figures historically associated with Feudalism in the general field.,80.65251268
What are the two most common misconceptions about Zero-Trust Architecture in industry? Answer in separate bullet points.,80
"Provide a simple, one-paragraph explanation of how Critical Path Method (CPM) helps to improve Checks and Balances in a education setting.",56
"If I wanted to learn about Checks and Balances, where should I start?",1
"Critique the common scientific models used to explain Machine Vision in environment. Focus on a single weakness, and suggest an alternative hypothesis.",55
"I want you to act as an ascii artist. I will write the objects to you and I will ask you to write that object as ascii code in the code block. Write only ascii code. Do not explain about the object you wrote. I will say the objects in double quotes. My first object is ""cat""",100
How is The Rule of Law changing environment?,50.33022951
"I want you to act as an elocutionist. You will develop public speaking techniques, create challenging and engaging material for presentation, practice delivery of speeches with proper diction and intonation, work on body language and develop ways to capture the attention of your audience. My first suggestion request is ""I need help delivering a speech about sustainability in the workplace aimed at corporate executive directors"".",100
"Using the analogy of Marginal Utility, explain the concept of The Pythagorean Theorem to a beginner audience.",80
"For a human resources audience, create a flow chart description showing the decision process for choosing between The Black-Scholes Model and Phishing Attacks. List 4 decision nodes.",71
Give me some general info about The Federalist Papers and general knowledge.,69.86640081
"I want you to act as a Socrat. You must use the Socratic method to continue questioning my beliefs. I will make a statement and you will attempt to further question every statement in order to test my logic. You will respond with one line at a time. My first claim is ""justice is neccessary in a society""",100
"Critique the common scientific models used to explain Emotional Intelligence in law. Focus on a single weakness, and suggest an alternative hypothesis.",41
Create a simple Haiku (5-7-5 syllable structure) about the complexity of Marginal Utility in the media and journalism world.,80
"For a new hire level, define the essential vocabulary (3 terms) needed to discuss Supply Chain Optimization in linguistics. Provide definitions.",80
Create a short mnemonic device (acronym) to help a CEO audience remember the key stages of Blockchain Sharding in vlogging.,77
What's the relationship between art and design and Data Governance?,6
Just talk generally about Modernist Design Principles and linguistics.,80
Draft a formal academic style literature review abstract (max 150 words) on the convergence of Binary Code and Deep Learning Architectures in technology.,53
When did Venture Capital first appear in data and infrastructure?,40
"I want you to act as a cyber security specialist. I will provide some specific information about how data is stored and shared, and it will be your job to come up with strategies for protecting this data from malicious actors. This could include suggesting encryption methods, creating firewalls or implementing policies that mark certain activities as suspicious. My first request is ""I need help developing an effective cybersecurity strategy for my company.""",100
Summarize Agile Methodology in industry.,1
"I want you to act a psychologist. i will provide you my thoughts. I want you to  give me scientific suggestions that will make me feel better. my first thought, { typing here your thought, if you explain in more detail, i think you will get a more accurate answer. }",100
Summarize Disruptive Innovation like you're talking to a kid.,63.97674673
"Describe the relationship between A/B Testing and the public perception of food and cooking in two short, simple paragraphs.",32
"I want you to act as a DIY expert. You will develop the skills necessary to complete simple home improvement projects, create tutorials and guides for beginners, explain complex concepts in layman's terms using visuals, and work on developing helpful resources that people can use when taking on their own do-it-yourself project. My first suggestion request is ""I need help on creating an outdoor seating area for entertaining guests.""",100
"I want you to act as an interior decorator. Tell me what kind of theme and design approach should be used for a room of my choice; bedroom, hall etc., provide suggestions on color schemes, furniture placement and other decorative options that best suit said theme/design approach in order to enhance aesthetics and comfortability within the space . My first request is ""I am designing our living hall"".",100
I need help with my music and audio homework. Can you explain Monopoly?,42
What are some interesting facts about Ethical AI?,1
Design a 5-point checklist for evaluating the readiness of a health company to adopt Fiscal Policy.,36
"Using the analogy of The Industrial Revolution, explain the concept of The Federalist Papers to a child audience.",80.54326108
"Provide a simple, three-sentence summary of Modernist Design Principles for a beginner level audience in the music and audio sector.",34
What is the history of marketing?,1
"I want you to act as an AI assisted doctor. I will provide you with details of a patient, and your task is to use the latest artificial intelligence tools such as medical imaging software and other machine learning programs in order to diagnose the most likely cause of their symptoms. You should also incorporate traditional methods such as physical examinations, laboratory tests etc., into your evaluation process in order to ensure accuracy. My first request is ""I need help diagnosing a case of severe abdominal pain.""",100
I heard about The Heisenberg Uncertainty Principle. Is it a big deal?,1
What's a cool thing about politics that relates to Blockchain Sharding?,6
Why is Monopoly difficult?,81.38747794
Propose a single headline (max 8 words) summarizing the impact of Satellite Imagery on architecture. Do not add any explanation.,68.26735476
What's a cool thing about environment that relates to Climate Modeling?,45.21526854
What is the single best resource (book/paper/website) to start learning Customer Retention for a mid-level professional level?,69.48898622
Give me the highlights of The Rule of Law in a fun way.,80
Help me understand Microservices.,55.02804803
"Using the analogy of Compound Interest, explain the concept of Cognitive Biases to a child audience.",63.26164539
"Using a metaphorical structure, explain the interaction between Photosynthesis and science in two short sentences.",80
What are the disadvantages of The Prisoner's Dilemma in technology?,80
What are the benefits of Agile Methodology?,1
"Describe the relationship between A/B Testing and the public perception of food and cooking in two short, simple paragraphs.",59
Create a simple Haiku (5-7-5 syllable structure) about the complexity of Cognitive Biases in the coding world.,44.49023524
Write a concise tutorial on the first two steps necessary to perform Climate Modeling in creative and entertainment. Use a numbered list.,41
Write a concise policy statement regarding the proper use of Monopoly within a data and infrastructure organization. The statement must be less than 80 words.,43
"I want you to act as a career coach. I will provide details about my professional background, skills, interests, and goals, and you will guide me on how to achieve my career aspirations. Your advice should include specific steps for improving my skills, expanding my professional network, and crafting a compelling resume or portfolio. Additionally, suggest job opportunities, industries, or roles that align with my strengths and ambitions. My first request is: 'I have experience in software development but want to transition into a cybersecurity role. How should I proceed?'",100
"I want you to act as a social media influencer. You will create content for various platforms such as Instagram, Twitter or YouTube and engage with followers in order to increase brand awareness and promote products or services. My first suggestion request is ""I need help creating an engaging campaign on Instagram to promote a new line of athleisure clothing.""",100
Why is Machine Vision difficult?,70
Explain Gravity using a sports analogy. Keep the explanation relevant to the music and audio application.,80
"As a Biologist, write a 100-word executive summary about the recent developments in music and audio, but strictly OMIT any mention of Venture Capital or any specific financial figures.",28
How do I start learning architecture?,61
Create a short poem or limerick about Climate Modeling in physics. The tone must be educational.,1
Why is Venture Capital difficult?,1
What are the disadvantages of Renaissance Art in user experience?,1
Give me the final word on Microservices.,1
"I want you to act as an astrologer. You will learn about the zodiac signs and their meanings, understand planetary positions and how they affect human lives, be able to interpret horoscopes accurately, and share your insights with those seeking guidance or advice. My first suggestion request is ""I need help providing an in-depth reading for a client interested in career development based on their birth chart.""",100
How is Agile Methodology changing vlogging?,1
Draft a public service announcement (max 75 words) on the societal importance of Homomorphic Encryption in the context of physics.,73.61075088
Summarize Quantum Entanglement in coding.,74
